x0,x1,x2,x3,x4,x5,x6,x7,pv_kWp,battery_kWh,pcm_kg,compressor_kWh,feasible,failure_reason,unmet_kWh,rh_violation_hours,battery_soc_min,pcm_soc_min,pcm_candidate,pcm_transition_C,pcm_conductivity_W_mK,pcm_usable_enthalpy_J_kg,pcm_leakage_pct,pcm_cycle_retention_500,pcm_cost_INR_kg,pcm_data_status
12.0,30.0,1000.0,10.0,12.0,18.0,12000.0,40.0,12.0,30.0,1000.0,5875.232100112419,False,POST_SIM_CONSTRAINT,165.05667899937524,48.0,0.2,0.0766666565897135,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
14.0,30.0,1000.0,10.0,12.0,18.0,12000.0,40.0,14.0,30.0,1000.0,5939.628080372538,False,POST_SIM_CONSTRAINT,0.29776447710352355,2.0,0.23656876062943424,0.37810431703688463,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
16.0,30.0,1000.0,10.0,12.0,18.0,12000.0,40.0,16.0,30.0,1000.0,5969.1947943953855,True,,1.2369127944111825e-13,0,0.3125997060516497,0.37810431703688463,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
18.0,30.0,1000.0,10.0,12.0,18.0,12000.0,40.0,18.0,30.0,1000.0,6009.555902639115,True,,1.2732925824820997e-13,0,0.35775689580707853,0.37810431703688463,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
20.0,30.0,1000.0,10.0,12.0,18.0,12000.0,40.0,20.0,30.0,1000.0,6046.2103363149,True,,1.3096723705530166e-13,0,0.4897145737890717,0.37810431703688463,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
22.0,30.0,1000.0,10.0,12.0,20.0,12000.0,40.0,22.0,30.0,1000.0,6100.781452506625,True,,1.3096723705530166e-13,0,0.5149683460735139,0.37810431703688463,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
25.0,35.0,1000.0,10.0,12.0,20.0,12000.0,40.0,25.0,35.0,1000.0,6171.386873772439,True,,1.3278622645884751e-13,0,0.6675134244352366,0.37810431703688463,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
18.0,35.0,1000.0,10.0,12.0,20.0,12000.0,40.0,18.0,35.0,1000.0,6009.555902639115,True,,1.2732925824820997e-13,0,0.43729015211334327,0.37810431703688463,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
6.81487564,16.49650258,442.41866847,4.83619338,10.00291738,9.92572261,7366.71876988,39.42211599,6.81487564219046,16.49650257986101,442.4186684733047,10000.0,False,ROOM_T_LIMIT,,0,0.2256730542486335,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
17.46789155,30.43161799,715.05871267,4.82068213,10.71905217,13.13294234,7597.9999602,32.59090623,17.467891551926876,30.43161799290036,715.0587126729988,7094.396280220787,False,POST_SIM_CONSTRAINT,1194.7208240653904,0,0.36705332797323287,0.10830875298854625,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
