t_h,T_room_C,RH_pct,T_product_max_C,T_product_aged_max_C,inventory_kg,P_pv_bus_W,P_load_W,P_compressor_elec_W,P_pcm_charge_elec_W,P_compressor_total_W,Q_evap_delivered_W,Q_evap_used_W,Q_pcm_cooling_W,Q_pcm_charge_W,Q_evap_cycle_W,Q_evap_airside_limit_W,Q_evap_sensible_W,Q_evap_latent_W,room_gains_W,product_heat_W,condensate_kg_s,battery_soc,battery_floor_soc,battery_soc_hard_clamped,pcm_soc,pcm_energy_residual_W,pcm_energy_clamped,unmet_W,refrigeration_unmet_W,electrical_unmet_W,refrigeration_required_W,refrigeration_delivered_W,curtailment_W,refrig_residual_W,bus_residual_W,condenser_adequate,condenser_capacity_W,condenser_margin_W,condenser_limited,inventory_violation,refrig_feasible,refrig_cycle_hard_failure,compressor_fraction_actual,thermal_power_budget_W,battery_available_above_reserve_W,fan_only_mode,fan_power_W,fan_only_airflow_m3_h,compressor_power_possible,min_compressor_power_W,fan_energy_savings_W,_f_thermal,_f_power,_f_condenser,compressor_commanded_fraction,dispatch_limiting_cause,daytime,night_room_sensible_demand_W,night_pcm_cooling_W,emergency_pcm_used,dispatch_violation,dispatch_removed_kg,dispatch_shortfall_kg
1.0,4.0,94.99999999999999,3.999999999999999,3.999999999999999,5000.0,0.0,325.0,0.0,0.0,0.0,125.69755220713024,125.69755220713024,708.3032500337486,0.0,4994.410971189185,14400.0,0.0,125.69755220713024,708.3032500337467,-3.5900618633278757e-12,1.9313461164594477e-05,0.7879884948230271,0.2,False,0.4746389463195504,0.0,False,0.0,0.0,0.0,125.69755220713024,125.69755220713024,0.0,0.0,0.0,True,29082.748029912498,23040.599323947095,False,False,True,False,1e-09,17067.84751886,17392.84751886,False,250.0,0.0,True,1800.2366540906219,0.0,1e-09,1.0,1.0,1.0,NONE,False,708.3032500337486,708.3032500337486,False,False,0.0,0.0
2.0,4.0,94.99999999999999,3.999999999999998,3.999999999999998,5000.0,0.0,325.0,0.0,0.0,0.0,123.78119181357901,123.78119181357901,699.8963493057763,0.0,4994.410971189185,14400.0,0.0,123.78119181357901,699.8963493057745,-8.97515465831969e-12,1.9019011898174163e-05,0.7759890011512313,0.2,False,0.44966717182669935,0.0,False,0.0,0.0,0.0,123.78119181357901,123.78119181357901,0.0,0.0,0.0,True,30560.213838918757,24518.065132953354,False,False,True,False,1e-09,16719.65705550152,17044.65705550152,False,250.0,0.0,True,1800.2366540906219,0.0,1e-09,1.0,1.0,1.0,NONE,False,699.8963493057763,699.8963493057763,False,False,0.0,0.0
3.0,4.0,94.99999999999999,3.999999999999998,3.999999999999998,5000.0,0.0,325.0,0.0,0.0,0.0,122.74250746933393,122.74250746933393,695.2188255924721,0.0,4994.410971189185,14400.0,0.0,122.74250746933393,695.2188255924702,-8.97515465831969e-12,1.8859417782039006e-05,0.7640015069731071,0.2,False,0.4249147238458939,0.0,False,0.0,0.0,0.0,122.74250746933393,122.74250746933393,0.0,0.0,0.0,True,31382.26248453125,25340.113778565847,False,False,True,False,1e-09,16371.814782606401,16696.8147826064,False,250.0,0.0,True,1800.2366540906219,0.0,1e-09,1.0,1.0,1.0,NONE,False,695.2188255924721,695.2188255924721,False,False,0.0,0.0
4.0,4.0,94.99999999999999,3.999999999999998,3.999999999999998,5000.0,0.0,325.0,0.0,0.0,0.0,122.03791275245005,122.03791275245005,691.9951268170862,0.0,4994.410971189185,14400.0,0.0,122.03791275245005,691.9951268170844,-8.97515465831969e-12,1.8751156622912445e-05,0.7520260002891611,0.2,False,0.40031533262257857,0.0,False,0.0,0.0,0.0,122.03791275245005,122.03791275245005,0.0,0.0,0.0,True,31948.809524074997,25906.660818109594,False,False,True,False,1e-09,16024.320351984175,16349.320351984175,False,250.0,0.0,True,1800.2366540906219,0.0,1e-09,1.0,1.0,1.0,NONE,False,691.9951268170862,691.9951268170862,False,False,0.0,0.0
5.0,4.0,94.99999999999999,3.999999999999998,3.999999999999998,5000.0,0.0,325.0,0.0,0.0,0.0,121.20706044492754,121.20706044492754,688.1393302426054,0.0,4994.410971189185,14400.0,4.547473508864641e-13,121.20706044492708,688.139330242604,-8.97515465831969e-12,1.862349595257241e-05,0.740062469111899,0.2,False,0.3758977485364827,1.1368683772161603e-13,False,0.0,0.0,0.0,121.20706044492754,121.20706044492754,0.0,0.0,0.0,True,32626.444218431247,26584.295512465844,False,False,True,False,1e-09,15677.173415792571,16002.173415792571,False,250.0,0.0,True,1800.2366540906219,0.0,1e-09,1.0,1.0,1.0,NONE,False,688.1393302426059,688.1393302426054,False,False,0.0,0.0
6.0,4.0,94.99999999999999,3.999999999999998,3.999999999999998,5000.0,0.0,325.0,0.0,0.0,0.0,118.70038597112284,118.70038597112284,676.1294720597946,0.0,4994.410971189185,14400.0,1.5916157281026244e-12,118.70038597112125,676.1294720597944,-8.97515465831969e-12,1.823834477618063e-05,0.7281109014658141,0.2,False,0.35203330291136403,0.0,False,0.0,0.0,0.0,118.70038597112284,118.70038597112284,0.0,0.0,0.0,True,34737.10965986875,28694.960953903348,False,False,True,False,1e-09,15330.373626537159,15655.373626537159,False,250.0,0.0,True,1800.2366540906219,0.0,1e-09,1.0,1.0,1.0,NONE,False,676.1294720597962,676.1294720597946,False,False,0.0,0.0
7.0,4.0,94.99999999999999,4.0,4.0,4890.714285714285,617.0301406948839,325.0,0.0,0.0,0.0,1195.9035829891154,1925.9789347263252,0.0,730.0753517372079,4994.410971189185,14400.0,660.5466050389805,535.3569779501349,660.5466050389787,0.0,1.7543907002031143e-05,0.736861554490101,0.2,False,0.37421750762760186,0.0,False,0.0,0.0,0.0,1195.9035829891154,1195.9035829891154,0.0,0.0,0.0,True,36758.90497745625,30716.75627149085,False,False,True,False,1e-09,15600.950777765886,15308.920637071002,False,250.0,0.0,True,1800.2366540906219,0.0,1e-09,1.0,1.0,1.0,NONE,True,0.0,0.0,False,False,109.28571428571429,0.0
8.0,4.0,94.99999999999999,4.000000000000001,4.000000000000001,4672.142857142857,2207.0781030659837,1571.746324284284,285.54567122044375,961.2006530638402,1246.746324284284,1188.2874623951325,5188.287462395131,0.0,3999.999999999998,5188.287462395131,14400.0,657.9516915164422,530.3357708786903,657.9516915164422,3.3546563782896623e-12,1.7026621235424745e-05,0.7567463997610457,0.2,False,0.5030444742153082,0.0,False,0.0,0.0,0.0,1188.2874623951325,1188.2874623951325,0.0,0.0,0.0,True,35781.333615106254,29504.636611610942,False,False,True,False,0.01940934603709226,17444.66336304011,15562.585259974125,False,250.0,0.0,True,1800.2366540906219,0.0,0.01940934603709226,1.0,1.0,1.0,NONE,True,0.0,0.0,False,False,327.8571428571429,0.0
9.0,4.0,94.99999999999999,4.0,4.0,4453.571428571428,4179.693270415682,1579.6743905683722,293.47373750453187,961.2006530638404,1254.6743905683722,1221.2798090350036,5221.279809035003,0.0,4000.0000000000014,5221.279809035003,14400.0,677.2905716225032,543.9892374125004,677.2905716225032,0.0,1.7229847470709745e-05,0.8403815079346874,0.2,False,0.6314840730280811,0.0,False,0.0,0.0,0.0,1221.2798090350036,1221.2798090350036,0.0,0.0,0.0,True,30949.020630762498,24632.410078761306,False,False,True,False,0.02271227273817634,19993.70199994592,16139.008729530238,False,250.0,0.0,True,1800.2366540906219,0.0,0.02271227273817634,1.0,1.0,1.0,NONE,True,0.0,0.0,False,False,546.4285714285714,0.0
10.0,4.0,94.99999999999999,4.000000000000002,4.000000000000002,4235.0,5522.366226771739,1587.6783105288907,301.47765746505024,961.2006530638405,1262.6783105288907,1254.5878178675218,5254.587817867522,0.0,4000.0000000000005,5254.587817867523,14400.0,696.4398223888438,558.147995478678,696.4398223888438,6.081564796477422e-12,1.75292898888051e-05,0.945871063730106,0.2,False,0.7595388493805162,0.0,False,0.0,0.0,0.0,1254.5878178675218,1254.5878178675218,658.7811847319435,-2.2737367544323206e-13,0.0,True,26150.033942862497,19793.127959903253,False,False,True,False,0.026046800982975946,23760.79609578116,18563.42986900942,False,250.0,0.0,True,1800.2366540906219,0.0,0.026046800982975946,1.0,1.0,1.0,NONE,True,0.0,0.0,False,False,765.0,0.0
